"","word","sentiment"
"110","accolade","surprise"
"111","accolade","trust"
"112","accommodation","positive"
"113","accompaniment","anticipation"
"114","accompaniment","joy"
"115","accompaniment","positive"
"116","accompaniment","trust"
"117","accomplish","joy"
"118","accomplish","positive"
"119","accomplished","joy"
"120","accomplished","positive"
"121","accomplishment","positive"
"122","accord","positive"
"123","accord","trust"
"124","account","trust"
"125","accountability","positive"
"126","accountability","trust"
"127","accountable","positive"
"128","accountable","trust"
"129","accountant","trust"
"130","accounts","trust"
"131","accredited","positive"
"132","accredited","trust"
"133","accueil","positive"
"134","accurate","positive"
"135","accurate","trust"
"136","accursed","anger"
"137","accursed","fear"
"138","accursed","negative"
"139","accursed","sadness"
"140","accusation","anger"
"141","accusation","disgust"
"142","accusation","negative"
"143","accusative","negative"
"144","accused","anger"
"145","accused","fear"
"146","accused","negative"
"147","accuser","anger"
"148","accuser","fear"
"149","accuser","negative"
"150","accusing","anger"
"151","accusing","fear"
"152","accusing","negative"
"153","ace","positive"
"154","ache","negative"
"155","ache","sadness"
"156","achieve","joy"
"157","achieve","positive"
"158","achieve","trust"
"159","achievement","anticipation"
"160","achievement","joy"
"161","achievement","positive"
"162","achievement","trust"
"163","aching","negative"
"164","aching","sadness"
"165","acid","negative"
"166","acknowledgment","positive"
"167","acquire","positive"
"168","acquiring","anticipation"
"169","acquiring","positive"
"170","acrobat","fear"
"171","acrobat","joy"
"172","acrobat","positive"
"173","acrobat","trust"
"174","action","positive"
"175","actionable","anger"
"176","actionable","disgust"
"177","actionable","negative"
"178","actual","positive"
"179","acuity","positive"
"180","acumen","positive"
"181","adapt","positive"
"182","adaptable","positive"
"183","adder","anger"
"184","adder","disgust"
"185","adder","fear"
"186","adder","negative"
"187","adder","sadness"
"188","addiction","negative"
"189","addresses","anticipation"
"190","addresses","positive"
"191","adept","positive"
"192","adequacy","positive"
"193","adhering","trust"
"194","adipose","negative"
"195","adjudicate","fear"
"196","adjudicate","negative"
"197","adjunct","positive"
"198","administrative","trust"
"199","admirable","joy"
"200","admirable","positive"
"201","admirable","trust"
"202","admiral","positive"
"203","admiral","trust"
"204","admiration","joy"
"205","admiration","positive"
"206","admiration","trust"
"207","admire","positive"
"208","admire","trust"
"209","admirer","positive"
"210","admissible","positive"
"211","admissible","trust"
"212","admonition","fear"
"213","admonition","negative"
"214","adorable","joy"
"215","adorable","positive"
"216","adoration","joy"
"217","adoration","positive"
"218","adoration","trust"
"219","adore","anticipation"
"220","adore","joy"
"221","adore","positive"
"222","adore","trust"
"223","adrift","anticipation"
"224","adrift","fear"
"225","adrift","negative"
"226","adrift","sadness"
"227","adulterated","negative"
"228","adultery","disgust"
"229","adultery","negative"
"230","adultery","sadness"
"231","advance","anticipation"
"232","advance","fear"
"233","advance","joy"
"234","advance","positive"
"235","advance","surprise"
"236","advanced","positive"
"237","advancement","positive"
"238","advantage","positive"
"239","advantageous","positive"
"240","advent","anticipation"
"241","advent","joy"
"242","advent","positive"
"243","advent","trust"
"244","adventure","anticipation"
"245","adventure","positive"
"246","adventurous","positive"
"247","adversary","anger"
"248","adversary","negative"
"249","adverse","anger"
"250","adverse","disgust"
"251","adverse","fear"
"252","adverse","negative"
"253","adverse","sadness"
"254","adversity","anger"
"255","adversity","fear"
"256","adversity","negative"
"257","adversity","sadness"
"258","advice","trust"
"259","advisable","positive"
"260","advisable","trust"
"261","advise","positive"
"262","advise","trust"
"263","advised","trust"
"264","adviser","positive"
"265","adviser","trust"
"266","advocacy","anger"
"267","advocacy","anticipation"
"268","advocacy","joy"
"269","advocacy","positive"
"270","advocacy","trust"
"271","advocate","trust"
"272","aesthetic","positive"
"273","aesthetics","joy"
"274","aesthetics","positive"
"275","affable","positive"
"276","affection","joy"
"277","affection","positive"
"278","affection","trust"
"279","affiliated","positive"
"280","affirm","positive"
"281","affirm","trust"
"282","affirmation","positive"
"283","affirmative","positive"
"284","affirmatively","positive"
"285","affirmatively","trust"
"286","afflict","fear"
"287","afflict","negative"
"288","afflict","sadness"
"289","afflicted","negative"
"290","affliction","disgust"
"291","affliction","fear"
"292","affliction","negative"
"293","affliction","sadness"
"294","affluence","joy"
"295","affluence","positive"
"296","affluent","positive"
"297","afford","positive"
"298","affront","anger"
"299","affront","disgust"
"300","affront","fear"
"301","affront","negative"
"302","affront","sadness"
"303","affront","surprise"
"304","afraid","fear"
"305","afraid","negative"
"306","aftermath","anger"
"307","aftermath","disgust"
"308","aftermath","fear"
"309","aftermath","negative"
"310","aftermath","sadness"
"311","aftertaste","negative"
"312","aga","fear"
"313","aga","positive"
"314","aga","trust"
"315","aggravated","anger"
"316","aggravated","negative"
"317","aggravating","anger"
"318","aggravating","negative"
"319","aggravating","sadness"
"320","aggravation","anger"
"321","aggravation","disgust"
"322","aggravation","negative"
"323","aggression","anger"
"324","aggression","fear"
"325","aggression","negative"
"326","aggressive","anger"
"327","aggressive","fear"
"328","aggressive","negative"
"329","aggressor","anger"
"330","aggressor","fear"
"331","aggressor","negative"
"332","aghast","disgust"
"333","aghast","fear"
"334","aghast","negative"
"335","aghast","surprise"
"336","agile","positive"
"337","agility","positive"
"338","agitated","anger"
"339","agitated","negative"
"340","agitation","anger"
"341","agitation","negative"
"342","agonizing","fear"
"343","agonizing","negative"
"344","agony","anger"
"345","agony","fear"
"346","agony","negative"
"347","agony","sadness"
"348","agree","positive"
"349","agreeable","positive"
"350","agreeable","trust"
"351","agreed","positive"
"352","agreed","trust"
"353","agreeing","positive"
"354","agreeing","trust"
"355","agreement","positive"
"356","agreement","trust"
"357","agriculture","positive"
"358","aground","negative"
"359","ahead","positive"
"360","aid","positive"
"361","aiding","positive"
"362","ail","negative"
"363","ail","sadness"
"364","ailing","fear"
"365","ailing","negative"
"366","ailing","sadness"
"367","aimless","negative"
"368","airport","anticipation"
"369","airs","disgust"
"370","airs","negative"
"371","akin","trust"
"372","alabaster","positive"
"373","alarm","fear"
"374","alarm","negative"
"375","alarm","surprise"
"376","alarming","fear"
"377","alarming","negative"
"378","alarming","surprise"
"379","alb","trust"
"380","alcoholism","anger"
"381","alcoholism","disgust"
"382","alcoholism","fear"
"383","alcoholism","negative"
"384","alcoholism","sadness"
"385","alertness","anticipation"
"386","alertness","fear"
"387","alertness","positive"
"388","alertness","surprise"
"389","alerts","anticipation"
"390","alerts","fear"
"391","alerts","surprise"
"392","alien","disgust"
"393","alien","fear"
"394","alien","negative"
"395","alienate","anger"
"396","alienate","disgust"
"397","alienate","negative"
"398","alienated","negative"
"399","alienated","sadness"
"400","alienation","anger"
"401","alienation","disgust"
"402","alienation","fear"
"403","alienation","negative"
"404","alienation","sadness"
"405","alimentation","positive"
"406","alimony","negative"
"407","alive","anticipation"
"408","alive","joy"
"409","alive","positive"
"410","alive","trust"
"411","allay","positive"
"412","allegation","anger"
"413","allegation","negative"
"414","allege","negative"
"415","allegiance","positive"
"416","allegiance","trust"
"417","allegro","positive"
"418","alleviate","positive"
"419","alleviation","positive"
"420","alliance","trust"
"421","allied","positive"
"422","allied","trust"
"423","allowable","positive"
"424","allure","anticipation"
"425","allure","joy"
"426","allure","positive"
"427","allure","surprise"
"428","alluring","positive"
"429","ally","positive"
"430","ally","trust"
"431","almighty","positive"
"432","aloha","anticipation"
"433","aloha","joy"
"434","aloha","positive"
"435","aloof","negative"
"436","altercation","anger"
"437","altercation","negative"
"438","amaze","surprise"
"439","amazingly","joy"
"440","amazingly","positive"
"441","amazingly","surprise"
"442","ambassador","positive"
"443","ambassador","trust"
"444","ambiguous","negative"
"445","ambition","anticipation"
"446","ambition","joy"
"447","ambition","positive"
"448","ambition","trust"
"449","ambulance","fear"
"450","ambulance","trust"
"451","ambush","anger"
"452","ambush","fear"
"453","ambush","negative"
"454","ambush","surprise"
"455","ameliorate","positive"
"456","amen","joy"
"457","amen","positive"
"458","amen","trust"
"459","amenable","positive"
"460","amend","positive"
"461","amends","positive"
"462","amenity","positive"
"463","amiable","positive"
"464","amicable","joy"
"465","amicable","positive"
"466","ammonia","disgust"
"467","amnesia","negative"
"468","amnesty","joy"
"469","amnesty","positive"
"470","amortization","trust"
"471","amour","anticipation"
"472","amour","joy"
"473","amour","positive"
"474","amour","trust"
"475","amphetamines","disgust"
"476","amphetamines","negative"
"477","amuse","joy"
"478","amuse","positive"
"479","amused","joy"
"480","amused","positive"
"481","amusement","joy"
"482","amusement","positive"
"483","amusing","joy"
"484","amusing","positive"
"485","anaconda","disgust"
"486","anaconda","fear"
"487","anaconda","negative"
"488","anal","negative"
"489","analyst","anticipation"
"490","analyst","positive"
"491","analyst","trust"
"492","anarchism","anger"
"493","anarchism","fear"
"494","anarchism","negative"
"495","anarchist","anger"
"496","anarchist","fear"
"497","anarchist","negative"
"498","anarchy","anger"
"499","anarchy","fear"
"500","anarchy","negative"
"501","anathema","anger"
"502","anathema","disgust"
"503","anathema","fear"
"504","anathema","negative"
"505","anathema","sadness"
"506","ancestral","trust"
"507","anchor","positive"
"508","anchorage","positive"
"509","anchorage","sadness"
"510","ancient","negative"
"511","angel","anticipation"
"512","angel","joy"
"513","angel","positive"
"514","angel","surprise"
"515","angel","trust"
"516","angelic","joy"
"517","angelic","positive"
"518","angelic","trust"
"519","anger","anger"
"520","anger","negative"
"521","angina","fear"
"522","angina","negative"
"523","angling","anticipation"
"524","angling","negative"
"525","angry","anger"
"526","angry","disgust"
"527","angry","negative"
"528","anguish","anger"
"529","anguish","fear"
"530","anguish","negative"
"531","anguish","sadness"
"532","animate","positive"
"533","animated","joy"
"534","animated","positive"
"535","animosity","anger"
"536","animosity","disgust"
"537","animosity","fear"
"538","animosity","negative"
"539","animosity","sadness"
"540","animus","anger"
"541","animus","negative"
"542","annihilate","anger"
"543","annihilate","fear"
"544","annihilate","negative"
"545","annihilated","anger"
"546","annihilated","fear"
"547","annihilated","negative"
"548","annihilated","sadness"
"549","annihilation","anger"
"550","annihilation","fear"
"551","annihilation","negative"
"552","annihilation","sadness"
"553","announcement","anticipation"
"554","annoy","anger"
"555","annoy","disgust"
"556","annoy","negative"
"557","annoyance","anger"
"558","annoyance","disgust"
"559","annoyance","negative"
"560","annoying","anger"
"561","annoying","negative"
"562","annul","negative"
"563","annulment","negative"
"564","annulment","sadness"
"565","anomaly","fear"
"566","anomaly","negative"
"567","anomaly","surprise"
"568","anonymous","negative"
"569","answerable","trust"
"570","antagonism","anger"
"571","antagonism","negative"
"572","antagonist","anger"
"573","antagonist","negative"
"574","antagonistic","anger"
"575","antagonistic","disgust"
"576","antagonistic","negative"
"577","anthrax","disgust"
"578","anthrax","fear"
"579","anthrax","negative"
"580","anthrax","sadness"
"581","antibiotics","positive"
"582","antichrist","anger"
"583","antichrist","disgust"
"584","antichrist","fear"
"585","antichrist","negative"
"586","anticipation","anticipation"
"587","anticipatory","anticipation"
"588","antidote","anticipation"
"589","antidote","positive"
"590","antidote","trust"
"591","antifungal","positive"
"592","antifungal","trust"
"593","antipathy","anger"
"594","antipathy","disgust"
"595","antipathy","negative"
"596","antiquated","negative"
"597","antique","positive"
"598","antiseptic","positive"
"599","antiseptic","trust"
"600","antisocial","anger"
"601","antisocial","disgust"
"602","antisocial","fear"
"603","antisocial","negative"
"604","antisocial","sadness"
"605","antithesis","anger"
"606","antithesis","negative"
"607","anxiety","anger"
"608","anxiety","anticipation"
"609","anxiety","fear"
"610","anxiety","negative"
"611","anxiety","sadness"
"612","anxious","anticipation"
"613","anxious","fear"
"614","anxious","negative"
"615","apache","fear"
"616","apache","negative"
"617","apathetic","negative"
"618","apathetic","sadness"
"619","apathy","negative"
"620","apathy","sadness"
"621","aphid","disgust"
"622","aphid","negative"
"623","aplomb","positive"
"624","apologetic","positive"
"625","apologetic","trust"
"626","apologize","positive"
"627","apologize","sadness"
"628","apologize","trust"
"629","apology","positive"
"630","apostle","positive"
"631","apostle","trust"
"632","apostolic","trust"
"633","appalling","disgust"
"634","appalling","fear"
"635","appalling","negative"
"636","apparition","fear"
"637","apparition","surprise"
"638","appeal","anticipation"
"639","appendicitis","fear"
"640","appendicitis","negative"
"641","appendicitis","sadness"
"642","applause","joy"
"643","applause","positive"
"644","applause","surprise"
"645","applause","trust"
"646","applicant","anticipation"
"647","appreciation","joy"
"648","appreciation","positive"
"649","appreciation","trust"
"650","apprehend","fear"
"651","apprehension","fear"
"652","apprehension","negative"
"653","apprehensive","anticipation"
"654","apprehensive","fear"
"655","apprehensive","negative"
"656","apprentice","trust"
"657","approaching","anticipation"
"658","approbation","positive"
"659","approbation","trust"
"660","appropriation","negative"
"661","approval","positive"
"662","approve","joy"
"663","approve","positive"
"664","approve","trust"
"665","approving","positive"
"666","apt","positive"
"667","aptitude","positive"
"668","arbiter","trust"
"669","arbitration","anticipation"
"670","arbitrator","trust"
"671","archaeology","anticipation"
"672","archaeology","positive"
"673","archaic","negative"
"674","architecture","trust"
"675","ardent","anticipation"
"676","ardent","joy"
"677","ardent","positive"
"678","ardor","positive"
"679","arduous","negative"
"680","argue","anger"
"681","argue","negative"
"682","argument","anger"
"683","argument","negative"
"684","argumentation","anger"
"685","argumentative","negative"
"686","arguments","anger"
"687","arid","negative"
"688","arid","sadness"
"689","aristocracy","positive"
"690","aristocratic","positive"
"691","armament","anger"
"692","armament","fear"
"693","armaments","fear"
"694","armaments","negative"
"695","armed","anger"
"696","armed","fear"
"697","armed","negative"
"698","armed","positive"
"699","armor","fear"
"700","armor","positive"
"701","armor","trust"
"702","armored","fear"
"703","armory","trust"
"704","aroma","positive"
"705","arouse","anticipation"
"706","arouse","positive"
"707","arraignment","anger"
"708","arraignment","fear"
"709","arraignment","negative"
"710","arraignment","sadness"
"711","array","positive"
"712","arrears","negative"
"713","arrest","negative"
"714","arrival","anticipation"
"715","arrive","anticipation"
"716","arrogance","negative"
"717","arrogant","anger"
"718","arrogant","disgust"
"719","arrogant","negative"
"720","arsenic","disgust"
"721","arsenic","fear"
"722","arsenic","negative"
"723","arsenic","sadness"
"724","arson","anger"
"725","arson","fear"
"726","arson","negative"
"727","art","anticipation"
"728","art","joy"
"729","art","positive"
"730","art","sadness"
"731","art","surprise"
"732","articulate","positive"
"733","articulation","positive"
"734","artillery","fear"
"735","artillery","negative"
"736","artisan","positive"
"737","artiste","positive"
"738","artistic","positive"
"739","ascendancy","positive"
"740","ascent","positive"
"741","ash","negative"
"742","ashamed","disgust"
"743","ashamed","negative"
"744","ashamed","sadness"
"745","ashes","negative"
"746","ashes","sadness"
"747","asp","fear"
"748","aspiration","anticipation"
"749","aspiration","joy"
"750","aspiration","positive"
"751","aspiration","surprise"
"752","aspiration","trust"
"753","aspire","anticipation"
"754","aspire","joy"
"755","aspire","positive"
"756","aspiring","anticipation"
"757","aspiring","joy"
"758","aspiring","positive"
"759","aspiring","trust"
"760","ass","negative"
"761","assail","anger"
"762","assail","fear"
"763","assail","negative"
"764","assail","surprise"
"765","assailant","anger"
"766","assailant","fear"
"767","assailant","negative"
"768","assailant","sadness"
"769","assassin","anger"
"770","assassin","fear"
"771","assassin","negative"
"772","assassin","sadness"
"773","assassinate","anger"
"774","assassinate","fear"
"775","assassinate","negative"
"776","assassination","anger"
"777","assassination","fear"
"778","assassination","negative"
"779","assassination","sadness"
"780","assault","anger"
"781","assault","fear"
"782","assault","negative"
"783","assembly","positive"
"784","assembly","trust"
"785","assent","positive"
"786","asserting","positive"
"787","asserting","trust"
"788","assessment","surprise"
"789","assessment","trust"
"790","assessor","trust"
"791","assets","positive"
"792","asshole","anger"
"793","asshole","disgust"
"794","asshole","negative"
"795","assignee","trust"
"796","assist","positive"
"797","assist","trust"
"798","assistance","positive"
"799","associate","positive"
"800","associate","trust"
"801","association","trust"
"802","assuage","positive"
"803","assurance","positive"
"804","assurance","trust"
"805","assure","trust"
"806","assured","positive"
"807","assured","trust"
"808","assuredly","trust"
"809","astonishingly","positive"
"810","astonishingly","surprise"
"811","astonishment","joy"
"812","astonishment","positive"
"813","astonishment","surprise"
"814","astray","fear"
"815","astray","negative"
"816","astringent","negative"
"817","astrologer","anticipation"
"818","astrologer","positive"
"819","astronaut","positive"
"820","astronomer","anticipation"
"821","astronomer","positive"
"822","astute","positive"
"823","asylum","fear"
"824","asylum","negative"
"825","asymmetry","disgust"
"826","atheism","negative"
"827","atherosclerosis","fear"
"828","atherosclerosis","negative"
"829","atherosclerosis","sadness"
"830","athlete","positive"
"831","athletic","positive"
"832","atom","positive"
"833","atone","anticipation"
"834","atone","joy"
"835","atone","positive"
"836","atone","trust"
"837","atonement","positive"
"838","atrocious","anger"
"839","atrocious","disgust"
"840","atrocious","negative"
"841","atrocity","anger"
"842","atrocity","disgust"
"843","atrocity","fear"
"844","atrocity","negative"
"845","atrocity","sadness"
"846","atrophy","disgust"
"847","atrophy","fear"
"848","atrophy","negative"
"849","atrophy","sadness"
"850","attachment","positive"
"851","attack","anger"
"852","attack","fear"
"853","attack","negative"
"854","attacking","anger"
"855","attacking","disgust"
"856","attacking","fear"
"857","attacking","negative"
"858","attacking","sadness"
"859","attacking","surprise"
"860","attainable","anticipation"
"861","attainable","positive"
"862","attainment","positive"
"863","attempt","anticipation"
"864","attendance","anticipation"
"865","attendant","positive"
"866","attendant","trust"
"867","attention","positive"
"868","attentive","positive"
"869","attentive","trust"
"870","attenuated","negative"
"871","attenuation","negative"
"872","attenuation","sadness"
"873","attest","positive"
"874","attest","trust"
"875","attestation","trust"
"876","attorney","anger"
"877","attorney","fear"
"878","attorney","positive"
"879","attorney","trust"
"880","attraction","positive"
"881","attractiveness","positive"
"882","auction","anticipation"
"883","audacity","negative"
"884","audience","anticipation"
"885","auditor","fear"
"886","auditor","trust"
"887","augment","positive"
"888","august","positive"
"889","aunt","positive"
"890","aunt","trust"
"891","aura","positive"
"892","auspicious","anticipation"
"893","auspicious","joy"
"894","auspicious","positive"
"895","austere","fear"
"896","austere","negative"
"897","austere","sadness"
"898","austerity","negative"
"899","authentic","joy"
"900","authentic","positive"
"901","authentic","trust"
"902","authenticate","trust"
"903","authentication","trust"
"904","authenticity","positive"
"905","authenticity","trust"
"906","author","positive"
"907","author","trust"
"908","authoritative","positive"
"909","authoritative","trust"
"910","authority","positive"
"911","authority","trust"
"912","authorization","positive"
"913","authorization","trust"
"914","authorize","trust"
"915","authorized","positive"
"916","autocratic","negative"
"917","automatic","trust"
"918","autopsy","disgust"
"919","autopsy","fear"
"920","autopsy","negative"
"921","autopsy","sadness"
"922","avalanche","fear"
"923","avalanche","negative"
"924","avalanche","sadness"
"925","avalanche","surprise"
"926","avarice","anger"
"927","avarice","disgust"
"928","avarice","negative"
"929","avatar","positive"
"930","avenger","anger"
"931","avenger","negative"
"932","averse","anger"
"933","averse","disgust"
"934","averse","fear"
"935","averse","negative"
"936","aversion","anger"
"937","aversion","disgust"
"938","aversion","fear"
"939","aversion","negative"
"940","avoid","fear"
"941","avoid","negative"
"942","avoidance","fear"
"943","avoidance","negative"
"944","avoiding","fear"
"945","await","anticipation"
"946","award","anticipation"
"947","award","joy"
"948","award","positive"
"949","award","surprise"
"950","award","trust"
"951","awful","anger"
"952","awful","disgust"
"953","awful","fear"
"954","awful","negative"
"955","awful","sadness"
"956","awkwardness","disgust"
"957","awkwardness","negative"
"958","awry","negative"
"959","axiom","trust"
"960","axiomatic","trust"
"961","ay","positive"
"962","aye","positive"
"963","babble","negative"
"964","babbling","negative"
"965","baboon","disgust"
"966","baboon","negative"
"967","baby","joy"
"968","baby","positive"
"969","babysitter","trust"
"970","baccalaureate","positive"
"971","backbone","anger"
"972","backbone","positive"
"973","backbone","trust"
"974","backer","trust"
"975","backward","negative"
"976","backwards","disgust"
"977","backwards","negative"
"978","backwater","negative"
"979","backwater","sadness"
"980","bacteria","disgust"
"981","bacteria","fear"
"982","bacteria","negative"
"983","bacteria","sadness"
"984","bacterium","disgust"
"985","bacterium","fear"
"986","bacterium","negative"
"987","bad","anger"
"988","bad","disgust"
"989","bad","fear"
"990","bad","negative"
"991","bad","sadness"
"992","badge","trust"
"993","badger","anger"
"994","badger","negative"
"995","badly","negative"
"996","badly","sadness"
"997","badness","anger"
"998","badness","disgust"
"999","badness","fear"
"1000","badness","negative"
"1001","bailiff","fear"
"1002","bailiff","negative"
"1003","bailiff","trust"
"1004","bait","fear"
"1005","bait","negative"
"1006","bait","trust"
"1007","balance","positive"
"1008","balanced","positive"
"1009","bale","fear"
"1010","bale","negative"
"1011","balk","negative"
"1012","ballad","positive"
"1013","ballet","positive"
"1014","ballot","anticipation"
"1015","ballot","positive"
"1016","ballot","trust"
"1017","balm","anticipation"
"1018","balm","joy"
"1019","balm","negative"
"1020","balm","positive"
"1021","balsam","positive"
"1022","ban","negative"
"1023","bandit","negative"
"1024","bane","anger"
"1025","bane","disgust"
"1026","bane","fear"
"1027","bane","negative"
"1028","bang","anger"
"1029","bang","disgust"
"1030","bang","fear"
"1031","bang","negative"
"1032","bang","sadness"
"1033","bang","surprise"
"1034","banger","anger"
"1035","banger","anticipation"
"1036","banger","fear"
"1037","banger","negative"
"1038","banger","surprise"
"1039","banish","anger"
"1040","banish","disgust"
"1041","banish","fear"
"1042","banish","negative"
"1043","banish","sadness"
"1044","banished","anger"
"1045","banished","fear"
"1046","banished","negative"
"1047","banished","sadness"
"1048","banishment","anger"
"1049","banishment","disgust"
"1050","banishment","negative"
"1051","banishment","sadness"
"1052","bank","trust"
"1053","banker","trust"
"1054","bankrupt","fear"
"1055","bankrupt","negative"
"1056","bankrupt","sadness"
"1057","bankruptcy","anger"
"1058","bankruptcy","disgust"
"1059","bankruptcy","fear"
"1060","bankruptcy","negative"
"1061","bankruptcy","sadness"
"1062","banquet","anticipation"
"1063","banquet","joy"
"1064","banquet","positive"
"1065","banshee","anger"
"1066","banshee","disgust"
"1067","banshee","fear"
"1068","banshee","negative"
"1069","banshee","sadness"
"1070","baptism","positive"
"1071","baptismal","joy"
"1072","baptismal","positive"
"1073","barb","anger"
"1074","barb","negative"
"1075","barbarian","fear"
"1076","barbarian","negative"
"1077","barbaric","anger"
"1078","barbaric","disgust"
"1079","barbaric","fear"
"1080","barbaric","negative"
"1081","barbarism","negative"
"1082","bard","positive"
"1083","barf","disgust"
"1084","bargain","positive"
"1085","bargain","trust"
"1086","bark","anger"
"1087","bark","negative"
"1088","barred","negative"
"1089","barren","negative"
"1090","barren","sadness"
"1091","barricade","fear"
"1092","barricade","negative"
"1093","barrier","anger"
"1094","barrier","negative"
"1095","barrow","disgust"
"1096","bartender","trust"
"1097","barter","trust"
"1098","base","trust"
"1099","baseless","negative"
"1100","basketball","anticipation"
"1101","basketball","joy"
"1102","basketball","positive"
"1103","bastard","disgust"
"1104","bastard","negative"
"1105","bastard","sadness"
"1106","bastion","anger"
"1107","bastion","positive"
"1108","bath","positive"
"1109","battalion","anger"
"1110","batter","anger"
"1111","batter","fear"
"1112","batter","negative"
"1113","battered","fear"
"1114","battered","negative"
"1115","battered","sadness"
"1116","battery","anger"
"1117","battery","negative"
"1118","battle","anger"
"1119","battle","negative"
"1120","battled","anger"
"1121","battled","fear"
"1122","battled","negative"
"1123","battled","sadness"
"1124","battlefield","fear"
"1125","battlefield","negative"
"1126","bawdy","negative"
"1127","bayonet","anger"
"1128","bayonet","fear"
"1129","bayonet","negative"
"1130","beach","joy"
"1131","beam","joy"
"1132","beam","positive"
"1133","beaming","anticipation"
"1134","beaming","joy"
"1135","beaming","positive"
"1136","bear","anger"
"1137","bear","fear"
"1138","bearer","negative"
"1139","bearish","anger"
"1140","bearish","fear"
"1141","beast","anger"
"1142","beast","fear"
"1143","beast","negative"
"1144","beastly","disgust"
"1145","beastly","fear"
"1146","beastly","negative"
"1147","beating","anger"
"1148","beating","fear"
"1149","beating","negative"
"1150","beating","sadness"
"1151","beautification","joy"
"1152","beautification","positive"
"1153","beautification","trust"
"1154","beautiful","joy"
"1155","beautiful","positive"
"1156","beautify","joy"
"1157","beautify","positive"
"1158","beauty","joy"
"1159","beauty","positive"
"1160","bedrock","positive"
"1161","bedrock","trust"
"1162","bee","anger"
"1163","bee","fear"
"1164","beer","joy"
"1165","beer","positive"
"1166","befall","negative"
"1167","befitting","positive"
"1168","befriend","joy"
"1169","befriend","positive"
"1170","befriend","trust"
"1171","beg","negative"
"1172","beg","sadness"
"1173","beggar","negative"
"1174","beggar","sadness"
"1175","begging","negative"
"1176","begun","anticipation"
"1177","behemoth","fear"
"1178","behemoth","negative"
"1179","beholden","negative"
"1180","belated","negative"
"1181","believed","trust"
"1182","believer","trust"
"1183","believing","positive"
"1184","believing","trust"
"1185","belittle","anger"
"1186","belittle","disgust"
"1187","belittle","fear"
"1188","belittle","negative"
"1189","belittle","sadness"
"1190","belligerent","anger"
"1191","belligerent","fear"
"1192","belligerent","negative"
"1193","bellows","anger"
"1194","belt","anger"
"1195","belt","fear"
"1196","belt","negative"
"1197","bender","negative"
"1198","benefactor","positive"
"1199","benefactor","trust"
"1200","beneficial","positive"
"1201","benefit","positive"
"1202","benevolence","joy"
"1203","benevolence","positive"
"1204","benevolence","trust"
"1205","benign","joy"
"1206","benign","positive"
"1207","bequest","trust"
"1208","bereaved","negative"
"1209","bereaved","sadness"
"1210","bereavement","negative"
"1211","bereavement","sadness"
"1212","bereft","negative"
"1213","berserk","anger"
"1214","berserk","negative"
"1215","berth","positive"
"1216","bestial","disgust"
