"No.","Time","Source","Destination","Protocol","Length","Native OS","Source Port","Destination Port","Time to live","Info"
"43","3.444971","192.150.11.111","98.114.205.102","TCP","54","","1957","1924","64","1957  >  1924 [ACK] Seq=2 Ack=124 Win=5840 Len=0"
"44","3.944177","98.114.205.102","192.150.11.111","TCP","64","","1924","1957","113","1924  >  1957 [PSH, ACK] Seq=124 Ack=2 Win=64239 Len=10"
"45","3.944185","192.150.11.111","98.114.205.102","TCP","54","","1957","1924","64","1957  >  1924 [ACK] Seq=2 Ack=134 Win=5840 Len=0"
"46","4.943355","192.150.11.111","98.114.205.102","TCP","55","","1957","1924","64","1957  >  1924 [PSH, ACK] Seq=2 Ack=134 Win=5840 Len=1"
"47","5.072049","98.114.205.102","192.150.11.111","TCP","60","","1924","1957","113","1924  >  1957 [FIN, ACK] Seq=134 Ack=3 Win=64238 Len=0"
"48","5.072091","192.150.11.111","98.114.205.102","TCP","54","","1957","1924","64","1957  >  1924 [FIN, ACK] Seq=3 Ack=135 Win=5840 Len=0"
"49","5.072673","98.114.205.102","192.150.11.111","TCP","60","","1828","445","113","1828  >  445 [RST] Seq=4210 Win=0 Len=0"
"50","5.082620","192.150.11.111","98.114.205.102","TCP","74","","36296","8884","64","36296  >  8884 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=4055633882 TSecr=0 WS=128"
"51","5.191856","98.114.205.102","192.150.11.111","TCP","60","","1924","1957","113","1924  >  1957 [ACK] Seq=135 Ack=4 Win=64238 Len=0"
"52","5.201726","98.114.205.102","192.150.11.111","TCP","78","","8884","36296","113","8884  >  36296 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 WS=1 TSval=0 TSecr=0 SACK_PERM=1"
"53","5.201740","192.150.11.111","98.114.205.102","TCP","66","","36296","8884","64","36296  >  8884 [ACK] Seq=1 Ack=1 Win=5888 Len=0 TSval=4055633911 TSecr=0"
"54","5.349393","98.114.205.102","192.150.11.111","TCP","87","","8884","36296","113","8884  >  36296 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=21 TSval=438613 TSecr=4055633911"
"55","5.349405","192.150.11.111","98.114.205.102","TCP","66","","36296","8884","64","36296  >  8884 [ACK] Seq=1 Ack=22 Win=5888 Len=0 TSval=4055633948 TSecr=438613"
"56","5.349467","192.150.11.111","98.114.205.102","TCP","74","","36296","8884","64","36296  >  8884 [PSH, ACK] Seq=1 Ack=22 Win=5888 Len=8 TSval=4055633948 TSecr=438613"
"57","5.474324","98.114.205.102","192.150.11.111","TCP","88","","8884","36296","113","8884  >  36296 [PSH, ACK] Seq=22 Ack=9 Win=64232 Len=22 TSval=438614 TSecr=4055633948"
"58","5.474373","192.150.11.111","98.114.205.102","TCP","74","","36296","8884","64","36296  >  8884 [PSH, ACK] Seq=9 Ack=44 Win=5888 Len=8 TSval=4055633980 TSecr=438614"
"59","5.604502","98.114.205.102","192.150.11.111","TCP","86","","8884","36296","113","8884  >  36296 [PSH, ACK] Seq=44 Ack=17 Win=64224 Len=20 TSval=438616 TSecr=4055633980"
"60","5.604566","192.150.11.111","98.114.205.102","TCP","72","","36296","8884","64","36296  >  8884 [PSH, ACK] Seq=17 Ack=64 Win=5888 Len=6 TSval=4055634012 TSecr=438616"
"61","5.736927","98.114.205.102","192.150.11.111","TCP","79","","8884","36296","113","8884  >  36296 [PSH, ACK] Seq=64 Ack=23 Win=64218 Len=13 TSval=438617 TSecr=4055634012"
"62","5.736981","192.150.11.111","98.114.205.102","TCP","74","","36296","8884","64","36296  >  8884 [PSH, ACK] Seq=23 Ack=77 Win=5888 Len=8 TSval=4055634045 TSecr=438617"
"63","5.871853","98.114.205.102","192.150.11.111","TCP","85","","8884","36296","113","8884  >  36296 [PSH, ACK] Seq=77 Ack=31 Win=64210 Len=19 TSval=438618 TSecr=4055634045"
"64","5.871936","192.150.11.111","98.114.205.102","TCP","92","","36296","8884","64","36296  >  8884 [PSH, ACK] Seq=31 Ack=96 Win=5888 Len=26 TSval=4055634079 TSecr=438618"
"65","6.009400","98.114.205.102","192.150.11.111","TCP","95","","8884","36296","113","8884  >  36296 [PSH, ACK] Seq=96 Ack=57 Win=64184 Len=29 TSval=438620 TSecr=4055634079"
"66","6.009415","192.150.11.111","98.114.205.102","TCP","81","","36296","8884","64","36296  >  8884 [PSH, ACK] Seq=57 Ack=125 Win=5888 Len=15 TSval=4055634113 TSecr=438620"
"67","6.141826","98.114.205.102","192.150.11.111","TCP","106","","8884","36296","113","8884  >  36296 [PSH, ACK] Seq=125 Ack=72 Win=64169 Len=40 TSval=438621 TSecr=4055634113"
"68","6.142326","98.114.205.102","192.150.11.111","TCP","62","","2152","1080","113","2152  >  1080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"69","6.142800","192.150.11.111","98.114.205.102","TCP","62","","1080","2152","64","1080  >  2152 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"70","6.179362","192.150.11.111","98.114.205.102","TCP","66","","36296","8884","64","36296  >  8884 [ACK] Seq=72 Ack=165 Win=5888 Len=0 TSval=4055634156 TSecr=438621"
"71","6.256763","98.114.205.102","192.150.11.111","TCP","60","","2152","1080","113","2152  >  1080 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"72","6.273504","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"73","6.273515","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=1025 Win=7168 Len=0"
"74","6.282623","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"75","6.282642","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=2485 Win=10220 Len=0"
"76","6.284747","98.114.205.102","192.150.11.111","Socks","490","","2152","1080","113","Unknown"
"77","6.284764","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=2921 Win=13140 Len=0"
"78","6.395310","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"79","6.395327","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=4381 Win=16060 Len=0"
"80","6.399808","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"81","6.399826","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=5405 Win=18980 Len=0"
"82","6.406055","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"83","6.406071","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=6865 Win=21900 Len=0"
"84","6.411801","98.114.205.102","192.150.11.111","Socks","1382","","2152","1080","113","Unknown"
"85","6.411819","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=8193 Win=24820 Len=0"
"86","6.507873","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"87","6.507891","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=9653 Win=27740 Len=0"
"88","6.510371","98.114.205.102","192.150.11.111","Socks","622","","2152","1080","113","Unknown"
"89","6.510390","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=10221 Win=30660 Len=0"
"90","6.512621","98.114.205.102","192.150.11.111","Socks","74","","2152","1080","113","Unknown"
"91","6.512638","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=10241 Win=30660 Len=0"
"92","6.617686","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"93","6.617703","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=11701 Win=33580 Len=0"
"94","6.620310","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"95","6.620327","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=12289 Win=36500 Len=0"
"96","6.735996","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"97","6.736013","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=13313 Win=39420 Len=0"
"98","6.837814","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"99","6.837831","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=14773 Win=42340 Len=0"
"100","6.840312","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"101","6.840330","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=15361 Win=45260 Len=0"
"102","6.955873","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"103","6.955890","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=16385 Win=48180 Len=0"
"104","7.040201","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"105","7.040218","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=17845 Win=51100 Len=0"
"106","7.042824","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"107","7.042842","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=18433 Win=54020 Len=0"
"108","7.117657","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"109","7.117674","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=19893 Win=56940 Len=0"
"110","7.120282","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"111","7.120299","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=20481 Win=59860 Len=0"
"112","7.235967","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"113","7.235985","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=21505 Win=62780 Len=0"
"114","7.320170","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"115","7.320187","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=22965 Win=62780 Len=0"
"116","7.322793","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"117","7.322815","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=23553 Win=62780 Len=0"
"118","7.445851","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"119","7.445871","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=24577 Win=62780 Len=0"
"120","7.568407","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"121","7.607395","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=25601 Win=63488 Len=0"
"122","7.619878","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"123","7.622501","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"124","7.622517","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=27649 Win=63488 Len=0"
"125","7.755927","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"126","7.755947","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=28673 Win=63488 Len=0"
"127","7.820266","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"128","7.822765","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"129","7.822781","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=30721 Win=63488 Len=0"
"130","7.880857","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"131","7.880877","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=31745 Win=63488 Len=0"
"132","8.006037","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"133","8.055135","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"134","8.055152","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=34229 Win=63488 Len=0"
"135","8.057883","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"136","8.057902","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=34817 Win=63488 Len=0"
"137","8.165200","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"138","8.167823","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"139","8.167838","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=36865 Win=63488 Len=0"
"140","8.293503","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"141","8.293522","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=37889 Win=63488 Len=0"
"142","8.415310","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"143","8.417809","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"144","8.417824","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=39937 Win=63488 Len=0"
"145","8.507634","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"146","8.510257","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"147","8.510273","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=41985 Win=63488 Len=0"
"148","8.540864","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"149","8.540884","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=43009 Win=63488 Len=0"
"150","8.633438","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"151","8.683422","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=44033 Win=63488 Len=0"
"152","8.775234","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"153","8.777858","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"154","8.777873","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=46081 Win=63488 Len=0"
"155","8.900415","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"156","8.903038","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"157","8.903054","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=48129 Win=63488 Len=0"
"158","9.026219","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"159","9.026238","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=49153 Win=63488 Len=0"
"160","9.085436","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"161","9.088060","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"162","9.088075","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=51201 Win=63488 Len=0"
"163","9.210866","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"164","9.210886","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=52225 Win=63488 Len=0"
"165","9.290197","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"166","9.292821","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"167","9.292836","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=54273 Win=63488 Len=0"
"168","9.333423","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"169","9.333442","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=55297 Win=63488 Len=0"
"170","9.458480","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"171","9.515444","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=56321 Win=63488 Len=0"
"172","9.555175","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"173","9.557923","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"174","9.557939","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=58369 Win=63488 Len=0"
"175","9.637879","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"176","9.640502","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"177","9.640518","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=60417 Win=63488 Len=0"
"178","9.763436","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"179","9.763455","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=61441 Win=63488 Len=0"
"180","9.885365","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"181","9.887864","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"182","9.887880","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=63489 Win=63488 Len=0"
"183","10.010295","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"184","10.012794","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"185","10.012810","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=65537 Win=63488 Len=0"
"186","10.087878","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"187","10.090251","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"188","10.090266","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=67585 Win=63488 Len=0"
"189","10.213558","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"190","10.213578","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=68609 Win=63488 Len=0"
"191","10.272776","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"192","10.275398","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"193","10.275414","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=70657 Win=63488 Len=0"
"194","10.338614","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"195","10.338634","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=71681 Win=63488 Len=0"
"196","10.463419","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"197","10.503470","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=72705 Win=63488 Len=0"
"198","10.555367","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"199","10.557866","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"200","10.557882","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=74753 Win=63488 Len=0"
"201","10.683670","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
"202","10.683689","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=75777 Win=63488 Len=0"
"203","10.775245","98.114.205.102","192.150.11.111","Socks","1514","","2152","1080","113","Unknown"
"204","10.777868","98.114.205.102","192.150.11.111","Socks","642","","2152","1080","113","Unknown"
"205","10.777884","192.150.11.111","98.114.205.102","TCP","54","","1080","2152","64","1080  >  2152 [ACK] Seq=1 Ack=77825 Win=63488 Len=0"
"206","10.903423","98.114.205.102","192.150.11.111","Socks","1078","","2152","1080","113","Unknown"
