"","dur","proto","service","state","spkts","dpkts","sbytes","dbytes","rate","sttl","dttl","sload","dload","sloss","dloss","sinpkt","dinpkt","sjit","djit","swin","stcpb","dtcpb","dwin","tcprtt","synack","ackdat","smean","dmean","trans_depth","response_body_len","ct_srv_src","ct_state_ttl","ct_dst_ltm","ct_src_dport_ltm","attack_cat","label"
"74",0.254299,"tcp","-","FIN",10,6,558,268,58.985679,254,252,15823.8916,7046.822266,2,1,27.357667,49.333,1648.793044,82.61257,255,5.42409109612589e-316,1.85609412969135e-314,255,0.026735,0.007625,0.01911,56,45,0,0,2,1,1,1,"Shellcode",1
"75",0.169067,"tcp","-","FIN",10,6,724,268,88.722225,254,252,30851.67578,10599.34863,2,1,17.765444,32.342199,955.576013,57.616785,255,5.34569049168248e-315,7.67354200173769e-315,255,0.051824,0.007347,0.044477,72,45,0,0,1,1,1,1,"Shellcode",1
"76",1.5e-05,"udp","-","INT",2,0,630,0,66666.66835,254,0,1.68e+08,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,315,0,0,0,2,2,1,1,"Shellcode",1
"77",1.262176,"tcp","-","FIN",10,6,518,268,11.884238,254,252,2959.967529,1419.770264,2,1,131.186222,237.514406,8056.039555,408.061531,255,1.0441503770174e-314,1.42041310263227e-314,255,0.153744,0.074603,0.079141,52,45,0,0,1,1,1,1,"Shellcode",1
"78",4e-06,"udp","-","INT",2,0,336,0,250000.0006,254,0,3.36e+08,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,168,0,0,0,1,2,1,1,"Shellcode",1
"79",0.198509,"tcp","-","FIN",10,6,1332,268,75.563327,254,252,48320.23047,9027.298828,2,1,20.264889,37.904,1069.611227,62.708801,255,1.24407948768081e-314,1.64136912297903e-315,255,0.054434,0.00898,0.045454,133,45,0,0,2,1,1,1,"Shellcode",1
"80",1.1e-05,"udp","-","INT",2,0,1448,0,90909.0902,254,0,526545440,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,724,0,0,0,1,2,1,1,"Shellcode",1
"81",2.631878,"tcp","-","FIN",10,8,748,354,6.459266,254,252,2048.727295,942.292969,2,1,292.342222,372.824844,18639.73593,581.016938,255,6.62885215493566e-315,4.84436916080808e-315,255,0.061247,0.022095,0.039152,75,44,0,0,1,1,1,1,"Shellcode",1
"82",0.829523,"tcp","-","FIN",10,6,564,268,18.082681,254,252,4899.201172,2160.277588,2,1,90.551444,148.858406,4710.45366,220.154031,255,1.44677409769441e-314,3.37488220036198e-315,255,0.136294,0.085224,0.05107,56,45,0,0,1,1,3,1,"Shellcode",1
"83",0.964615,"tcp","-","FIN",10,8,490,354,17.623612,254,252,3657.417725,2570.973877,2,1,100.966778,127.051289,6548.810739,191.484938,255,2.00894949021456e-314,1.22591574226826e-314,255,0.113751,0.075251,0.0385,49,44,0,0,2,1,9,1,"Shellcode",1
"84",0.811971,"tcp","-","FIN",10,8,542,354,20.936708,254,252,4808.053223,3054.296143,2,1,87.353778,105.616711,5671.506641,157.327625,255,3.63871111099631e-315,9.54424901123483e-315,255,0.146195,0.072649,0.073546,54,44,0,0,1,1,2,1,"Shellcode",1
"85",9e-06,"udp","-","INT",2,0,376,0,111111.1072,254,0,167111104,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,188,0,0,0,1,2,1,1,"Shellcode",1
"86",0.168175,"tcp","-","FIN",10,6,634,268,89.192807,254,252,27162.18359,10655.56738,2,1,18.686111,31.404801,967.614361,60.44468,255,1.27650871409873e-314,1.72487859791722e-314,255,0.052162,0.006237,0.045925,63,45,0,0,1,1,1,1,"Shellcode",1
"87",2e-06,"udp","-","INT",2,0,142,0,500000.0013,254,0,2.84e+08,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,71,0,0,0,1,2,1,1,"Shellcode",1
"88",0.162486,"tcp","-","FIN",10,6,524,268,92.315645,254,252,23238.92578,11028.64258,2,1,17.697111,28.609,1037.49451,48.047434,255,1.87929614361789e-314,8.63198594112141e-315,255,0.027466,0.019432,0.008034,52,45,0,0,2,1,1,1,"Shellcode",1
"89",4e-06,"udp","-","INT",2,0,486,0,250000.0006,254,0,4.86e+08,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,243,0,0,0,7,2,2,1,"Shellcode",1
"90",1.052826,"tcp","-","FIN",10,8,982,354,16.147017,254,252,6717.15918,2355.564941,2,1,116.852444,112.33457,6523.415607,212.335016,255,8.55363679361502e-315,1.21173982103657e-314,255,0.355929,0.266475,0.089454,98,44,0,0,4,1,2,1,"Shellcode",1
"91",1.1e-05,"udp","-","INT",2,0,806,0,90909.0902,254,0,293090912,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,403,0,0,0,5,2,1,1,"Shellcode",1
"92",0.182339,"tcp","-","FIN",10,6,536,268,82.264355,254,252,21191.29688,9827.848633,2,1,18.778222,34.537199,993.237921,58.233738,255,1.31005611038038e-314,1.58846157414981e-314,255,0.055787,0.009648,0.046139,54,45,0,0,3,1,1,1,"Shellcode",1
"93",0.185371,"tcp","-","FIN",10,6,502,268,80.918808,254,252,19506.82813,9667.100586,2,1,18.756,35.224602,994.11948,58.631168,255,1.00727636411465e-314,5.01073548059837e-315,255,0.056878,0.009241,0.047637,50,45,0,0,2,1,1,1,"Shellcode",1
"94",0.18105,"tcp","-","FIN",10,6,740,268,82.85004,254,252,29428.33398,9897.818359,2,1,18.668556,34.813801,987.299796,59.267457,255,1.34605702381358e-314,7.64110771855789e-315,255,0.054448,0.006977,0.047471,74,45,0,0,2,1,1,1,"Shellcode",1
"95",5e-06,"udp","-","INT",2,0,1474,0,200000.0051,254,0,1179200000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,737,0,0,0,2,2,1,1,"Shellcode",1
"96",3.2e-05,"udp","-","INT",2,0,176,0,31250.00008,254,0,2.2e+07,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,88,0,0,0,1,2,1,1,"Shellcode",1
"97",9e-06,"udp","-","INT",2,0,174,0,111111.1072,254,0,77333328,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,87,0,0,0,1,2,1,1,"Shellcode",1
"98",3e-06,"udp","-","INT",2,0,208,0,333333.3215,254,0,277333312,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,104,0,0,0,1,2,1,1,"Shellcode",1
"99",8e-06,"udp","-","INT",2,0,250,0,125000.0003,254,0,1.25e+08,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,125,0,0,0,1,2,1,1,"Shellcode",1
"100",1.1e-05,"udp","-","INT",2,0,630,0,90909.0902,254,0,229090912,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,315,0,0,0,1,2,1,1,"Shellcode",1
"101",9e-06,"udp","-","INT",2,0,344,0,111111.1072,254,0,152888880,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,172,0,0,0,1,2,1,1,"Shellcode",1
"102",0.23476,"tcp","-","FIN",10,6,552,268,63.895041,254,252,16936.44531,7633.327637,2,1,23.184111,42.495602,1202.812436,58.823371,255,1.03967509531871e-315,1.81245058741028e-314,255,0.053457,0.022277,0.03118,55,45,0,0,1,1,1,1,"Shellcode",1
"103",0.628081,"tcp","-","FIN",10,6,688,268,23.882269,254,252,7897.070312,2853.13501,2,1,69.786778,118.051,3584.179965,206.874656,255,2.00965181984616e-314,7.96678057507455e-315,255,0.12953,0.037103,0.092427,69,45,0,0,3,1,1,1,"Shellcode",1
"104",1e-05,"udp","-","INT",2,0,210,0,100000.0025,254,0,8.4e+07,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,105,0,0,0,1,2,1,1,"Shellcode",1
"105",0.417348,"tcp","-","FIN",10,6,840,268,35.941229,254,252,14491.50391,4293.778809,2,1,43.376667,73.191203,2234.751765,106.548375,255,7.32139930156833e-315,3.68846239506285e-317,255,0.149815,0.051388,0.098427,84,45,0,0,2,1,1,1,"Shellcode",1
"106",9e-06,"udp","-","INT",2,0,144,0,111111.1072,254,0,63999996,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,72,0,0,0,1,2,2,1,"Shellcode",1
"107",0.887061,"tcp","-","FIN",10,6,686,268,16.909773,254,252,5573.460938,2020.154175,2,1,93.946778,159.926203,5128.875266,261.679156,255,2.05763034795699e-314,3.74418601876616e-315,255,0.164719,0.087415,0.077304,69,45,0,0,7,1,1,1,"Shellcode",1
"108",7e-06,"udp","-","INT",2,0,500,0,142857.1409,254,0,285714272,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,250,0,0,0,13,2,1,1,"Shellcode",1
"109",0.232449,"tcp","-","FIN",10,6,1142,268,64.530285,254,252,35379.80469,7709.218262,2,1,23.404667,44.215,1223.288918,66.771289,255,1.268926416595e-314,1.62196501143469e-314,255,0.062604,0.011365,0.051239,114,45,0,0,1,1,1,1,"Shellcode",1
